신코드,신항목명,구코드,구항목명
,,753,"섬유, 의복제조 및 관련 기능 종사자"
,,754,"펠트, 가죽신발 제조관련 기능 종사자"
73,목재․가구․악기 및 간판 관련 기능직,,
730,목재․가구․악기 및 간판 관련 기능 종사자,713,건물 완성 및 관련 기능 종사자 
,,741,금속 및 관련재료 세공 종사자
,,742,"도공, 유리가공 및 관련 기능 종사자"
,,752,"목재처리, 가구제조 및 관련 기능 종사자"
74,금속성형관련 기능직,,
741,금형․주조 및 단조원,721,"금속주형, 용접 및 관련 기능 종사자"
,,722,"대장원, 공구제조원 및 관련 기능 종사자"
,,752,"목재처리, 가구제조 및 관련 기능 종사자"
742,제관원 및 판금원,821,금속 및 광물제품용 기계 조작 종사자
743,용접원,721,"금속주형, 용접 및 관련 기능 종사자"
75,운송 및 기계 관련 기능직,,
751,자동차 정비원,731,운송기계 정비 종사자
,,733,"전기, 전자장비 설치 및 정비 종사자"
752,운송장비 정비원,731,운송기계 정비 종사자
753,기계장비 설치 및 정비원,731,운송기계 정비 종사자
,,732,농․공업용 기계설치 및 정비 종사자
,,733,"전기, 전자장비 설치 및 정비 종사자"
76,전기 및 전자 관련 기능직,,
761,전기 및 전자기기 설치 및 수리원,733,"전기, 전자장비 설치 및 정비 종사자"
,,741,금속 및 관련재료 세공 종사자
762,전기공,713,건물 완성 및 관련 기능 종사자 
,,733,"전기, 전자장비 설치 및 정비 종사자"
77,건설 및 채굴 관련 기능직,,
771,건설구조관련 기능 종사자,712,건물 골조 및 관련 기능 종사자 
,,721,"금속주형, 용접 및 관련 기능 종사자"
772,건설관련 기능 종사자,711,"광원, 발파원, 석재 절단 및 조각 종사자"
,,712,건물 골조 및 관련 기능 종사자 
773,건축마감관련 기능 종사자,712,건물 골조 및 관련 기능 종사자 
,,713,건물 완성 및 관련 기능 종사자 
,,714,"건물 도장, 청결 및 관련 기능 종사자"
,,721,"금속주형, 용접 및 관련 기능 종사자"
774,채굴 및 토목 관련 기능 종사자,711,"광원, 발파원, 석재 절단 및 조각 종사자"
,,721,"금속주형, 용접 및 관련 기능 종사자"
,,941,광업 및 건설 관련 단순 노무 종사자
78,영상 및 통신 장비 관련 기능직,,
