p010101,p010107,p010110,p010350,p011642
1,45,5,712.0,200.0
2,41,8,151.0,200.0
1,36,5,913.0,80.0
1,44,7,316.0,150.0
1,44,4,941.0,60.0
2,40,4,832.0,50.0
1,40,5,311.0,130.0
2,37,5,513.0,220.0
1,33,5,712.0,100.0
1,50,7,312.0,110.0
2,22,6,156.0,45.0
1,53,5,912.0,89.0
1,23,5,311.0,60.0
1,33,6,30.0,157.0
2,46,5,312.0,55.0
2,55,7,513.0,100.0
2,28,7,152.0,130.0
2,26,7,432.0,60.0
1,44,7,23.0,230.0
2,38,5,513.0,300.0
1,37,7,24.0,230.0
1,44,7,314.0,300.0
1,45,8,23.0,423.0
1,34,7,316.0,-1.0
1,37,7,262.0,130.0
1,45,5,313.0,200.0
1,23,5,512.0,70.0
1,25,5,713.0,120.0
2,22,5,511.0,64.0
1,49,3,712.0,64.0
1,67,5,733.0,118.0
1,42,5,829.0,123.0
1,35,5,512.0,-1.0
1,44,5,816.0,280.0
2,39,5,421.0,170.0
1,41,7,315.0,220.0
1,53,7,313.0,180.0
1,43,8,182.0,250.0
1,35,7,314.0,133.0
1,40,8,113.0,265.0
2,40,8,235.0,300.0
2,34,5,-1.0,150.0
1,28,5,823.0,90.0
2,29,7,314.0,130.0
2,25,7,322.0,50.0
1,31,5,842.0,120.0
1,54,4,821.0,55.0
2,26,5,314.0,130.0
2,25,5,314.0,80.0
1,35,7,262.0,180.0
1,36,5,316.0,135.0
2,34,4,753.0,90.0
1,52,5,237.0,80.0
1,26,6,314.0,70.0
1,34,5,183.0,160.0
2,28,7,930.0,60.0
1,56,3,941.0,90.0
1,56,4,-1.0,150.0
1,27,5,-1.0,150.0
1,36,7,311.0,150.0
1,35,5,829.0,120.0
2,35,6,220.0,110.0
2,27,7,313.0,60.0
1,52,7,311.0,200.0
1,33,7,313.0,120.0
2,26,7,252.0,62.0
2,39,9,141.0,240.0
1,43,8,153.0,150.0
2,40,5,311.0,80.0
1,38,7,313.0,120.0
2,30,5,311.0,-1.0
2,33,5,513.0,50.0
2,22,5,311.0,69.0
1,41,3,914.0,150.0
2,37,3,911.0,50.0
1,59,8,173.0,230.0
2,48,5,421.0,100.0
1,26,5,235.0,80.0
1,37,5,842.0,112.0
2,28,5,422.0,90.0
2,32,5,252.0,32.0
1,30,7,315.0,140.0
1,56,4,842.0,60.0
1,27,7,311.0,70.0
1,60,7,23.0,340.0
2,31,7,315.0,110.0
1,37,7,30.0,200.0
2,38,5,315.0,210.0
1,62,2,912.0,70.0
1,33,7,220.0,190.0
2,29,7,220.0,150.0
1,41,7,315.0,180.0
1,30,7,322.0,-1.0
1,28,7,941.0,65.0
2,25,6,314.0,70.0
1,42,5,842.0,110.0
1,31,5,913.0,110.0
1,23,5,743.0,80.0
1,56,4,942.0,100.0
2,50,2,826.0,60.0
1,29,7,23.0,120.0
1,35,7,321.0,167.0
1,29,5,753.0,80.0
1,34,5,712.0,150.0
1,59,7,23.0,150.0
1,18,4,826.0,70.0
2,61,4,911.0,20.0
1,39,6,822.0,100.0
1,48,4,813.0,120.0
1,30,5,421.0,80.0
1,48,8,156.0,200.0
2,49,7,311.0,50.0
2,42,5,911.0,60.0
1,46,7,712.0,150.0
2,39,5,315.0,70.0
1,52,5,912.0,90.0
2,52,3,914.0,20.0
1,37,5,930.0,150.0
1,32,7,135.0,110.0
1,39,5,827.0,190.0
1,40,5,312.0,110.0
1,29,7,263.0,145.0
2,25,7,271.0,82.0
2,25,7,120.0,110.0
2,28,7,252.0,100.0
1,52,3,912.0,50.0
2,26,5,292.0,80.0
1,50,5,712.0,100.0
1,42,3,842.0,139.0
1,30,4,753.0,90.0
1,28,5,316.0,107.0
2,61,2,911.0,100.0
1,29,7,733.0,120.0
2,35,5,753.0,50.0
2,40,5,262.0,58.0
2,21,6,156.0,70.0
2,25,6,156.0,80.0
1,28,5,742.0,170.0
1,33,5,713.0,200.0
1,37,5,741.0,100.0
1,63,4,912.0,75.0
2,26,7,315.0,120.0
1,28,7,315.0,230.0
2,27,6,143.0,118.0
1,54,8,152.0,250.0
2,46,5,511.0,60.0
1,31,6,262.0,120.0
2,43,4,753.0,42.0
1,38,8,315.0,300.0
1,28,6,733.0,90.0
2,37,7,143.0,200.0
1,36,8,161.0,180.0
1,34,6,311.0,100.0
2,33,5,315.0,70.0
1,30,5,161.0,100.0
1,31,5,312.0,75.0
1,32,5,311.0,180.0
1,38,4,721.0,150.0
1,38,5,833.0,120.0
1,44,3,721.0,90.0
1,28,4,753.0,10.0
2,47,4,831.0,49.0
1,45,5,712.0,150.0
2,43,4,262.0,30.0
1,39,5,821.0,117.0
2,37,5,421.0,30.0
2,56,3,911.0,40.0
1,55,5,441.0,210.0
2,45,5,513.0,100.0
1,31,7,263.0,115.0
2,44,4,826.0,47.0
1,51,5,441.0,208.0
2,20,6,311.0,85.0
1,36,5,22.0,240.0
1,26,5,829.0,100.0
2,24,5,512.0,85.0
1,32,5,821.0,95.0
2,61,2,911.0,48.0
1,35,5,713.0,74.0
2,37,4,915.0,34.0
1,31,5,816.0,95.0
1,55,3,914.0,66.0
2,22,5,311.0,67.0
1,42,5,131.0,50.0
2,34,5,512.0,70.0
1,42,5,825.0,102.0
1,40,3,842.0,100.0
1,52,7,152.0,250.0
2,32,8,152.0,165.0
1,34,8,151.0,150.0
1,42,6,316.0,150.0
2,40,5,832.0,60.0
1,43,4,714.0,120.0
2,28,6,411.0,40.0
1,31,5,312.0,70.0
2,21,6,120.0,110.0
1,30,5,315.0,250.0
1,46,7,316.0,150.0
