code,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26
911,,,,,,-42.86,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,-79.17,,,,,62.50,3.85,-22.22,,,,
911,,,,,,,,,,,,,,-50.00,,,,,,,,,,,
911,,,,,,,-9.09,,,,,,,,,,,,,,,,,,
911,,,,,,,-9.09,,,,,,,,,,,,,,,,,,
911,,,,,,,0.00,14.29,-6.25,6.67,25.00,20.00,,,,,,,,,,,,,
911,,,,,,,30.00,,,,,,,,,,,,,,,,,-28.57,
911,,,,,,,,,,,,0.00,-20.00,25.00,60.00,50.00,-75.83,,,,,,,,
911,,,,,,,0.00,57.14,18.18,,,,100.00,0.00,0.00,-61.00,,,,,,,,,
911,,,,,,,,3.12,6.06,0.00,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,1.82,-1.79,190.91,6.25,0.00,5.88,11.11,5.00
911,,,,,,,,0.00,,,28.57,11.11,0.00,20.00,,,,,,,,,,,
911,,,,,,,,-70.00,,,,,,,,,,,,,,,,,
911,,,,,,,,-3.85,60.00,10.00,-11.36,7.69,-4.76,15.00,8.70,-5.20,,,,,,,,,
911,,,,,,,,,,,,,,,,,,-46.15,42.86,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-27.27,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,6.38,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,-30.77,,,,,,25.00,,,,,,,,,,
911,,,,,,,,,,,,5.56,-5.26,0.00,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,-20.00
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,100.00,-50.00,,,,,,,,,,,11.11,,,,
911,,,,,,,,,,,,,,,,,,10.48,-5.17,9.09,16.67,,,,
911,,,,,,,,,4.84,13.85,35.14,0.00,0.00,-10.00,,,,,,,,7.50,6.98,-2.17,-13.33
911,,,,,,,,,,25.00,-20.00,,,,,,,,,,,,,,
911,,,,,,,,,,100.00,0.00,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,0.00,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,25.00,20.00
911,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,
911,,,,,,,,,,-20.00,0.00,12.50,-11.11,0.00,0.00,12.50,11.11,0.00,0.00,0.00,20.00,4.17,12.00,,
911,,,,,,,,,,7.69,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,-7.69,25.00,,,,20.00,4.17
911,,,,,,,,,,,,,14.29,25.00,20.00,25.00,6.67,25.00,,,,,,,
911,,,,,,,,,,,,,,,,,,,,15.38,0.00,-33.33,,,
911,,,,,,,,,,,,,,,,,,,166.67,6.25,23.53,-23.81,37.50,18.18,
911,,,,,,,,,,,112.50,,,,,,,,,,,,,,
911,,,,,,,,,,,,,69.23,,,,,,,,,,,,
911,,,,,,,,,,,0.00,3.33,12.90,,,,,,,,,,,,
911,,,,,,,,,,,3.53,1.14,1.12,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,
911,,,,,,,,,,,20.00,12.50,148.15,-10.45,0.00,13.33,2.94,11.43,2.56,3.75,,,,,
911,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00
911,,,,,,,,,,,,5.93,1.40,-10.34,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,10.00,-9.09,40.00,21.43,-29.41,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,21.43,0.00,5.88,-11.11,12.50,
911,,,,,,,,,,,,18.00,-47.46,-16.13,15.38,0.00,0.00,16.67,11.43,,,,,,
911,,,,,,,,,,,,,,,25.00,14.29,0.00,0.00,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,12.50,-4.44,23.26,-3.77,6.86,-8.26,30.00,0.00,,,,,
911,,,,,,,,,,,,,33.33,0.00,0.00,10.00,45.45,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,-7.69,-10.00,,,-14.29,16.67,8.57,-21.05,,,,,
911,,,,,,,,,,,,,0.00,5.88,11.11,10.00,0.00,,,,,,,,
911,,,,,,,,,,,,,,,,,,,566.67,,,,,,
911,,,,,,,,,,,,,0.00,4.29,0.00,9.59,12.50,0.00,8.89,2.04,10.00,9.09,7.50,-3.10,12.00
911,,,,,,,,,,,,,,18.75,-5.26,33.33,0.00,,,8.70,33.33,,,,
911,,,,,,,,,,,,,,0.00,25.00,,,,,,,,,,
911,,,,,,,,,,,,,,0.00,17.14,-39.02,40.00,0.00,5.71,27.03,,,,,0.00
911,,,,,,,,,,,,,,-14.29,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,50.00,0.00,,,,
911,,,,,,,,,,,,,,,-12.50,0.00,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,-89.20,0.00,,,
911,,,,,,,,,,,,,,,,,,,0.00,15.00,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,-55.00,,,
911,,,,,,,,,,,,,,,,,,0.00,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,8.82,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,9.09,0.00,8.33,0.00
911,,,,,,,,,,,,,,,,,,,-25.00,16.67,114.29,,,,
911,,,,,,,,,,,,,,,,,,,-10.00,-11.11,,,,,
911,,,,,,,,,,,,,,,,,,,5.26,,,,6.25,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,20.00,11.11,0.00,0.00,0.00,10.00,13.64
911,,,,,,,,,,,,,,,,,,,,0.00,20.00,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,-75.68
911,,,,,,,,,,,,,,,,,,,,,,,,,0.00
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,9.00,,,,
911,,,,,,,,,,,,,,,,,,,,,-50.00,0.00,0.00,0.00,0.00
911,,,,,,,,,,,,,,,,,,,,,25.00,40.00,14.29,,
911,,,,,,,,,,,,,,,,,,,,,15.38,0.00,13.33,-11.76,2.00
911,,,,,,,,,,,,,,,,,,,,,0.00,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,0.00
911,,,,,,,,,,,,,,,,,,,,,,,,,-12.90
911,,,,,,,,,,,,,,,,,,,,,0.00,,,,
911,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00
911,,,,,,,,,,,,,,,,,,,,,,,-8.00,0.00,
911,,,,,,,,,,,,,,,,,,,,,7.69,,,,
911,,,,,,,,,,,,,,,,,,,,,-20.00,0.00,0.00,50.00,0.00
911,,,,,,,,,,,,,,,,,,,,,25.00,-33.33,80.00,0.00,-11.11
911,,,,,,,,,,,,,,,,,,,,,0.00,100.00,,,
911,,,,,,,,,,,,,,,,,,,,,5.88,11.11,-12.50,14.29,
911,,,,,,,,,,,,,,,,,,,,,0.00,50.00,20.00,,
911,,,,,,,,,,,,,,,,,,,,,0.00,,,,
911,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,
911,,,,,,,,,,,,,,,,,,,,,0.00,185.71,,,-63.64
911,,,,,,,,,,,,,,,,,,,,,50.00,0.00,20.00,11.11,
911,,,,,,,,,,,,,,,,,,,,,,-70.00,230.00,-59.60,
911,,,,,,,,,,,,,,,,,,,,,,122.22,,,94.44
911,,,,,,,,,,,,,,,,,,,,,,-50.00,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,0.00,7.69,0.00,0.00
911,,,,,,,,,,,,,,,,,,,,,,,,4.00,37.82
911,,,,,,,,,,,,,,,,,,,,,,0.00,,,
911,,,,,,,,,,,,,,,,,,,,,,,-33.33,,
911,,,,,,,,,,,,,,,,,,,,,,,100.00,,
911,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00
911,,,,,,,,,,,,,,,,,,,,,,,46.67,0.00,0.00
911,,,,,,,,,,,,,,,,,,,,,,,,-33.33,
